sector,product group,product,Year,fiscal year,balance sheet generic term,balance sheet item,Value,Calculation1,numerical value,Calculation_numerical_value,Unit,supplement unit
Vegetable products,Fruit,fruit,1990, 1990/91,detail position,domestically produced feed,1097,1097,1097,1097,1 000 tons,product weight
Vegetable products,Fruit,fruit,1991, 1991/92,detail position,domestically produced feed,734,734,734,734,1 000 tons,product weight
Vegetable products,Fruit,fruit,1992, 1992/93,detail position,domestically produced feed,1670,1670,1670,1670,1 000 tons,product weight
Vegetable products,Fruit,fruit,1993, 1993/94,detail position,domestically produced feed,1167,1167,1167,1167,1 000 tons,product weight
Vegetable products,Fruit,fruit,1994, 1994/95,detail position,domestically produced feed,1098,1098,1098,1098,1 000 tons,product weight
Vegetable products,Fruit,fruit,1995, 1995/96,detail position,domestically produced feed,791,791,791,791,1 000 tons,product weight
Vegetable products,Fruit,fruit,1996, 1996/97,detail position,domestically produced feed,1109,1109,1109,1109,1 000 tons,product weight
Vegetable products,Fruit,fruit,1997, 1997/98,detail position,domestically produced feed,947,947,947,947,1 000 tons,product weight
Vegetable products,Fruit,fruit,1998, 1998/99,detail position,domestically produced feed,1218,1218,1218,1218,1 000 tons,product weight
Vegetable products,Fruit,fruit,1999, 1999/00,detail position,domestically produced feed,1330,1330,1330,1330,1 000 tons,product weight
Vegetable products,Fruit,fruit,2000, 2000/01,detail position,domestically produced feed,1442,1442,1442,1442,1 000 tons,product weight
Vegetable products,Fruit,fruit,2001, 2001/02,detail position,domestically produced feed,1458,1458,1458,1458,1 000 tons,product weight
Vegetable products,Fruit,fruit,2002, 2002/03,detail position,domestically produced feed,1055,1055,1055,1055,1 000 tons,product weight
Vegetable products,Fruit,fruit,2003, 2003/04,detail position,domestically produced feed,1099,1099,1099,1099,1 000 tons,product weight
Vegetable products,Fruit,fruit,2004, 2004/05,detail position,domestically produced feed,1313,1313,1313,1313,1 000 tons,product weight
Vegetable products,Fruit,fruit,2005, 2005/06,detail position,domestically produced feed,1203.9,1203.9,1203.9,1203.9,1 000 tons,product weight
Vegetable products,Fruit,fruit,2006, 2006/07,detail position,domestically produced feed,1319.9,1319.9,1319.9,1319.9,1 000 tons,product weight
Vegetable products,Fruit,fruit,2007, 2007/08,detail position,domestically produced feed,1432.14,1432.14,1432.14,1432.14,1 000 tons,product weight
Vegetable products,Fruit,fruit,2008, 2008/09,detail position,domestically produced feed,1332,1332,1331.88,1331.88,1 000 tons,product weight
Vegetable products,Fruit,fruit,2009, 2009/10,detail position,domestically produced feed,1461.2,1461.2,1461.2,1461.2,1 000 tons,product weight
Vegetable products,Fruit,fruit,2010, 2010/11,detail position,domestically produced feed,1158.8,1158.8,1158.8,1158.8,1 000 tons,product weight
Vegetable products,Fruit,fruit,2011, 2011/12,detail position,domestically produced feed,1245,1245,1245,1245,1 000 tons,product weight
Vegetable products,Fruit,fruit,2012, 2012/13,detail position,domestically produced feed,1262.48,1262.48,1262.48,1262.48,1 000 tons,product weight
Vegetable products,Fruit,fruit,2013, 2013/14,detail position,domestically produced feed,1117.94,1117.94,1117.94,1117.94,1 000 tons,product weight
Vegetable products,Fruit,fruit,2014, 2014/15,detail position,domestically produced feed,1485.22,1485.22,1485.22,1485.22,1 000 tons,product weight
Vegetable products,Fruit,fruit,1990, 1990/91,detail position,crop dwindling,50,50,50,50,1 000 tons,product weight
Vegetable products,Fruit,fruit,1991, 1991/92,detail position,crop dwindling,38,38,38,38,1 000 tons,product weight
Vegetable products,Fruit,fruit,1992, 1992/93,detail position,crop dwindling,84,84,84,84,1 000 tons,product weight
Vegetable products,Fruit,fruit,1993, 1993/94,detail position,crop dwindling,58,58,58,58,1 000 tons,product weight
Vegetable products,Fruit,fruit,1994, 1994/95,detail position,crop dwindling,55,55,55,55,1 000 tons,product weight
Vegetable products,Fruit,fruit,1995, 1995/96,detail position,crop dwindling,39,39,39,39,1 000 tons,product weight
Vegetable products,Fruit,fruit,1996, 1996/97,detail position,crop dwindling,56,56,56,56,1 000 tons,product weight
Vegetable products,Fruit,fruit,1997, 1997/98,detail position,crop dwindling,47,47,47,47,1 000 tons,product weight
Vegetable products,Fruit,fruit,1998, 1998/99,detail position,crop dwindling,61,61,61,61,1 000 tons,product weight
Vegetable products,Fruit,fruit,1999, 1999/00,detail position,crop dwindling,66,66,66,66,1 000 tons,product weight
Vegetable products,Fruit,fruit,2000, 2000/01,detail position,crop dwindling,72,72,72,72,1 000 tons,product weight
Vegetable products,Fruit,fruit,2001, 2001/02,detail position,crop dwindling,73,73,73,73,1 000 tons,product weight
Vegetable products,Fruit,fruit,2002, 2002/03,detail position,crop dwindling,56,56,56,56,1 000 tons,product weight
Vegetable products,Fruit,fruit,2003, 2003/04,detail position,crop dwindling,60,60,60,60,1 000 tons,product weight
Vegetable products,Fruit,fruit,2004, 2004/05,detail position,crop dwindling,68,68,68,68,1 000 tons,product weight
Vegetable products,Fruit,fruit,2005, 2005/06,detail position,crop dwindling,80,80,80,80,1 000 tons,product weight
Vegetable products,Fruit,fruit,2006, 2006/07,detail position,crop dwindling,89,89,89,89,1 000 tons,product weight
Vegetable products,Fruit,fruit,2007, 2007/08,detail position,crop dwindling,101,101,101,101,1 000 tons,product weight
Vegetable products,Fruit,fruit,2008, 2008/09,detail position,crop dwindling,83.1,83.1,83,83,1 000 tons,product weight
Vegetable products,Fruit,fruit,2009, 2009/10,detail position,crop dwindling,111,111,111,111,1 000 tons,product weight
Vegetable products,Fruit,fruit,2010, 2010/11,detail position,crop dwindling,76,76,76,76,1 000 tons,product weight
Vegetable products,Fruit,fruit,2011, 2011/12,detail position,crop dwindling,82,82,82,82,1 000 tons,product weight
Vegetable products,Fruit,fruit,2012, 2012/13,detail position,crop dwindling,83,83,83,83,1 000 tons,product weight
Vegetable products,Fruit,fruit,2013, 2013/14,detail position,crop dwindling,67,67,67,67,1 000 tons,product weight
Vegetable products,Fruit,fruit,2014, 2014/15,detail position,crop dwindling,116,116,116,116,1 000 tons,product weight
Vegetable products,Fruit,fruit,1990, 1990/91,production,domestically produced feed,1047,1047,1047,1047,1 000 tons,product weight
Vegetable products,Fruit,fruit,1991, 1991/92,production,domestically produced feed,696,696,696,696,1 000 tons,product weight
Vegetable products,Fruit,fruit,1992, 1992/93,production,domestically produced feed,1586,1586,1586,1586,1 000 tons,product weight
Vegetable products,Fruit,fruit,1993, 1993/94,production,domestically produced feed,1109,1109,1109,1109,1 000 tons,product weight
Vegetable products,Fruit,fruit,1994, 1994/95,production,domestically produced feed,1043,1043,1043,1043,1 000 tons,product weight
Vegetable products,Fruit,fruit,1995, 1995/96,production,domestically produced feed,752,752,752,752,1 000 tons,product weight
Vegetable products,Fruit,fruit,1996, 1996/97,production,domestically produced feed,1053,1053,1053,1053,1 000 tons,product weight
Vegetable products,Fruit,fruit,1997, 1997/98,production,domestically produced feed,900,900,900,900,1 000 tons,product weight
Vegetable products,Fruit,fruit,1998, 1998/99,production,domestically produced feed,1157,1157,1157,1157,1 000 tons,product weight
Vegetable products,Fruit,fruit,1999, 1999/00,production,domestically produced feed,1264,1264,1264,1264,1 000 tons,product weight
Vegetable products,Fruit,fruit,2000, 2000/01,production,domestically produced feed,1370,1370,1370,1370,1 000 tons,product weight
Vegetable products,Fruit,fruit,2001, 2001/02,production,domestically produced feed,1385,1385,1385,1385,1 000 tons,product weight
Vegetable products,Fruit,fruit,2002, 2002/03,production,domestically produced feed,999,999,999,999,1 000 tons,product weight
Vegetable products,Fruit,fruit,2003, 2003/04,production,domestically produced feed,1039,1039,1039,1039,1 000 tons,product weight
Vegetable products,Fruit,fruit,2004, 2004/05,production,domestically produced feed,1236,1236,1236,1236,1 000 tons,product weight
Vegetable products,Fruit,fruit,2005, 2005/06,production,domestically produced feed,1123.9,1123.9,1123.9,1123.9,1 000 tons,product weight
Vegetable products,Fruit,fruit,2006, 2006/07,production,domestically produced feed,1231,1231,1231,1231,1 000 tons,product weight
Vegetable products,Fruit,fruit,2007, 2007/08,production,domestically produced feed,1330.84,1330.84,1330.84,1330.84,1 000 tons,product weight
Vegetable products,Fruit,fruit,2008, 2008/09,production,domestically produced feed,1248.74,1248.74,1248.74,1248.74,1 000 tons,product weight
Vegetable products,Fruit,fruit,2009, 2009/10,production,domestically produced feed,1350.16,1350.16,1350.16,1350.16,1 000 tons,product weight
Vegetable products,Fruit,fruit,2010, 2010/11,production,domestically produced feed,1083.28,1083.28,1083.28,1083.28,1 000 tons,product weight
Vegetable products,Fruit,fruit,2011, 2011/12,production,domestically produced feed,1162.8,1162.8,1162.8,1162.8,1 000 tons,product weight
Vegetable products,Fruit,fruit,2012, 2012/13,production,domestically produced feed,1179.38,1179.38,1179.38,1179.38,1 000 tons,product weight
Vegetable products,Fruit,fruit,2013, 2013/14,production,domestically produced feed,1050.57,1050.57,1050.57,1050.57,1 000 tons,product weight
Vegetable products,Fruit,fruit,2014, 2014/15,production,domestically produced feed,1368.97,1368.97,1368.97,1368.97,1 000 tons,product weight
